country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,6.7,7.3,7.5,8.2,5.9,8.9,8.9,9.5,9.4,9.5,9.5,9.4,9.8,9.9,10,9.8,9.8,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,5.2,,,5.6,,,,,,,,5,,,,,,,,,,6.2,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,8.6,8.8,8.6,9.3,7.7,8.4,7.3,7.6,8.4,9.1,8.7,9.7,9.6,9.3,10,9.5,10,9.9,9.9
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,8.1,,,,,8.6,,,,,8,,,,,7.6,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,8,7.7,,,,,,,,6.5,5.9,6.8,6.4,6.1,5.9,6.2,6.4,6.5,6.5,6.6,7.1,6.9,6.7,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,1.5,,,,,,,,3,,,,,,,,,,,,,,,4.6,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,7.7,,7.2,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,5.8,6.4,6.9,6.8,6.6,5.7,6.5,7.1,6.5,6.7,6,6.1,6,6.3,
Luxembourg,,,,,,,,,,,,,,,,,,,9.5,,,,,,9.6,,,9.4,,,8.4,,,8.4,,,8.3,8.3,8.2,8.2,8.3,7.8,8,8.2,7.8,7.3,7.6,7.9,7.2,7.2,6.5,
Madagascar,,,,,,,,,,,,,,5,,,,,,,,,,,,,5.4,,,,6.1,,6.3,,4.9,,,,6.7,,,,,6.1,,5.7,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,6.9,,,,,,5.5,,,,,,6.4,,
Malaysia,,,,,,,,,,,,,,,,,,4.6,,,4.9,,5.1,,,4.7,,,4.5,,4.4,,,,,,,4.7,,,4.7,4.8,,,5.2,,5.8,,5.8,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,6.4,,,,,,,8.3,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,6.3,,,,,6.4,,,8,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.3,8.5,8.2,8.4,8.5,8.4,8.6,8.6,8.5,8.6,8.5,
Mauritania,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,5.2,,6.4,,,,,6.2,,,,6.5,,,,6.7,,,,,,7.5,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,7,,,,,7.2,
Mexico,,,,,,,,,,,,,,,,,,,,,,,3.6,,,3.6,,3.4,,2.9,,3.2,,3.7,,4.2,,4.2,4,4.5,,4.1,,4.7,,4.5,,4.7,,5.1,,5.4
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,5.5,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6,6,6.9,6.7,7,7.6,7.4,7,7.1,7.4,7.3,7.6,8.1,8.5,9,9.1,9.7,9.7,10,10,10.2
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.7,,,,7.5,,,,,7.3,,,7.8,7.8,7.6,,8.1,,8,,7.9
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.2,5.1,5.2,,,
Morocco,,,,,,,,,,,,,,,,,,6.6,,,,,,6.6,,,,,,,,6.5,,6.5,,,,,,6.5,,,,,,,6.7,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,5.4,,,,,,5.2,,,,,,4.2,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,8.9,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3.3,,,,,,2.8,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,6.5,,,,,,,8.3,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,8.8,,,,9.7,,,8.3,,,7.9,,,,,,9.1,,,,,8.4,8.7,8.7,8.8,8.7,9,9,9.1,9.1,8.9,8.8,8.9,8.8,8.8,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,3.1,,,3.9,,,,4.8,,,,5.3,,,,,5.1,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,6,,,,,,,,,,,5.8,,7.7,,,,8.9,,,7.8,,,,
Nigeria,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,3.7,,,,,,,5.7,,,,,,5.4,,,,,,,,,
