country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Switzerland,,1.84,2.54,3.89,3.72,3,,,3.16,2.7,2.41,2.05,2.68,3.73,3.98,4.02,3.82,3.44,3.35,3.89,4.78,4.1,4.37,4.58,4.67,4.49,4.83,4.62,4.71,4.36
Tajikistan,,,,,,,,,,,,,,,,,,,,6.07,,,,,,,,,,
Tanzania,,,,,,,,,,,,4.3,,,,,7.5,,,,,2.82,,8.69,3.56,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,0.956,1.07,0.86,0.49,0.769,0.878,0.948,1.23,1.09,0.998
Timor-Leste,,,,,,,,,,,,,,,,,,,,,8.22,,,15.6,,,7.01,,,
Togo,,,,,,,,,,,,,,,,,5.14,,,,,1.57,,,8.54,1.88,,14.3,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,3.86,3.64,3.45,2.65,2.51,2.49,3.2,,,
Tunisia,,,,,,,,,,,,,,,,13.3,12.5,13.5,13.4,14,13.7,20.6,21,16.2,,16.3,,,,
Turkey,,,,,,,,,,,,,15.2,12.8,15.1,13.6,11.1,11.1,11.4,15.2,13.1,10.7,9.65,10.2,11.3,11.3,12.4,12.5,12.1,15.6
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,11.9,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,8.8,8.35,7.59,10.4,10.1,10.7,17.9,9.87,
United Arab Emirates,,,,,,2.53,,,,,,,,,,3.9,,,,,,,,,,,,3.7,3.38,
United Kingdom,,,,,,,,,5.63,5.32,4.98,4.05,4.25,4.29,4.23,4.43,5.14,5.07,5.48,7.74,8.18,8.53,8.57,8.24,6.85,5.97,5.34,4.77,4.62,4
United States,,,,,7.14,6.56,6.42,6,5.46,5.01,4.79,5.63,6.94,7.23,6.74,6.35,5.83,5.89,7.42,11.7,12.3,11.6,10.4,9.68,8.09,7.09,6.47,5.77,5.17,4.84
Uruguay,,,,,,,,,7.73,9.66,10.5,13.4,14.6,14.7,11,10.2,10.5,9.27,7.63,6.72,6.2,5.03,4.71,4.77,4.24,5.42,5.22,5.79,6.18,6.66
Vanuatu,,,,,,,,,,,,,,,,,12,,,,1.88,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,6.09,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,2.01,1.6,1.71,1.97,1.87,2.62,2.66,2.78,1.76,2.6
Yemen,,,,,,,,,,,,,,,,,,,,,19.3,,,,17.3,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,16.3,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,13.6,,,9.3,,,,,
