country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Greece,,8.11,7.66,6.55,4.95,4.59,4.39,4.95,5.65,6.62,8.28,6.79,6.58,5.74,5.81,5.93,6.83,9.05,8.28,8.81,9.1,9.37,11.1,12.7,13,11.4,11.6,10.4,2.97,2.14,0.882,2.32,2.36,2.56,3.03,4.05,4.27,4.29,,,2.92,2.78,2.27,2.07,2.96,2.18,1.52,1.25,,
Grenada,,,16.2,,,,,2.35,1.23,1.51,4.1,8.82,11.9,11.9,9.44,,,,,,,,,,,,,,,0.25,,,0.515,,0.29,3.48,,0.281,0.197,,,,,,,,,,0.764,
Guatemala,54,52.9,52.2,,50.9,49.9,,,47.7,47.2,45.4,42.5,45.4,41.8,,,,,,,,,,,,,,29,,16.6,14.3,15.5,12.5,,8.14,6.75,5.29,4.4,4.55,,,4.5,7.5,9.82,11.7,12,12.7,11.7,10.6,
Guinea,,,,,,,,,,,,,,,75.2,72.4,74.5,76.3,75.4,75.5,76.2,74.2,,,,,,,59.1,57,54.2,51.1,44.1,40.9,38,36.2,34.3,32.4,33.4,32,29.3,25.3,25.8,24.1,20.5,,21.9,,,
Guinea-Bissau,,,,,,,,,,,,55.3,46.4,,49.5,50,,59,60.5,,,,,,,,,,,,50.7,,,,,,,,,,27.3,,,,,,,,,
Guyana,,13.1,11.9,,9.47,,13.1,8.24,,11.3,,,11.1,,,,,,,,,8.13,10.4,11.9,,10.1,11.6,,,,,,,7.2,,,,,1.89,7.61,3.66,1.81,1.79,,,,,,,
Haiti,,,,,,,,,,,63.3,62.3,56.8,52.5,55.9,50.8,48.6,57.5,,,,,,,,,,41.9,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,28.2,24.8,24.4,,14.2,12.7,11.7,,11.9,,,,,13.7,,12.4,,,,,,,14.3,,,9.58,9.07,13.7,10.1,15.5,12.4,13.6,12.5,12.3,15.6,18.6,19.3,20.1,18.8,17.5,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,8.45,9.49,21.6,13,1.62,1.39,3.16,2.42,1.96,3.05,3.32,2.56,2.05,2.9,1.96,1.5,1.7,2.47,3.02,3.21,3.04,2.86,2.23,2.57,,
Iceland,,,,,,,,0.87,,,,,,,,,,,,,,,,,2.66,,2.01,1.52,0.483,1.11,1.07,0.731,0.713,1.71,3.37,3.17,2.68,1.85,0.762,0.277,0.695,1.2,1.75,1.87,1.76,1.32,0.456,0.0476,,
