country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,,,,,,6.87,,8.19,,8.15,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,34.9,50.7,51.8
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,33.7,33.1,37,37.9,39,,,44.1,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,36.2,37.4,,38.3,38.6,39.1,39.9,40.7,41.5,41.9,42.3,43.5,,45.2
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92,,,9.6,,9.52,9.65,9.41,10.9,10.9,11.8,12.1,12.4,12.2,13.2,13.3
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,54.9,55.3,62.5,,63.9
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,14.7,15.9,,24.9,,,,29.8,34.3,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,3.4,,,,,9.42,
