country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Georgia,,,,,,,,,,,,,,,,,0.377,0.377,0.383,0.383,0.373,0.4,0.4,0.41,0.41,0.4,0.4,0.4,0.4,0.394,0.424,0.424,0.424,0.424,0.424,0.439,0.439,0.462,0.491,0.491,0.486,0.462,0.443,0.451
Germany,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.871,0.871,0.871,0.864,0.864,0.864,0.871,0.871,0.871,0.871,0.871,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.737,0.737,0.737,0.737,0.652,0.652
Ghana,0.492,0.492,0.492,0.492,0.584,0.644,0.644,0.47,0.47,0.464,0.464,0.464,0.464,0.471,0.472,0.475,0.475,0.475,0.591,0.608,0.608,0.644,0.644,0.644,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.617,0.617,0.617,0.642,0.642,0.561,0.578,0.578,0.625,0.568,0.591,0.592
Greece,0.437,0.584,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.624,0.624,0.628,0.628,0.63,0.63,0.628,0.624,0.621,0.621,0.621,0.621,0.621,0.621,0.624,0.624,0.624,0.624,0.624,0.609,0.609,0.585,0.589,0.64,0.59,0.587,0.545,0.61
Guatemala,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.521,0.521,0.51,0.533,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.477,0.481,0.483,0.483,0.454,0.454,0.454,0.454,0.454,0.452,0.452,0.452,0.454,0.454,0.452,0.452,0.452,0.452,0.463,0.463,0.5,0.52,0.559,0.559,0.577,0.599
Guinea,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.217,0.222,0.222,0.218,0.222,0.222,0.252,0.269,0.269,0.269,0.269,0.293,0.293,0.293,0.293,0.293,0.281,0.281,0.277,0.277,0.277,0.277,0.277,0.295,0.283,0.292,0.307,0.307,0.307,0.302,0.302,0.302,0.302,0.289,0.266
Guinea-Bissau,0.291,0.291,0.291,0.291,0.291,0.27,0.27,0.27,0.27,0.27,0.27,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.305,0.383,0.412,0.412,0.412,0.412,0.412,0.433,0.433,0.433,0.433,0.46,0.463,0.463,0.463,0.46,0.46,0.47,0.452,0.374,0.46,0.46,0.46,0.451,0.455,0.465
Haiti,0.135,0.135,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.109,0.109,0.13,0.309,0.309,0.309,0.309,0.291,0.208,0.208,0.214,0.39,0.39,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.294,0.285,0.369,0.41,0.41,0.391,0.325,0.331,0.34,0.281,0.281,0.281,0.298,0.278,0.316
Honduras,0.339,0.339,0.339,0.288,0.288,0.339,0.391,0.391,0.391,0.386,0.388,0.388,0.388,0.388,0.388,0.397,0.397,0.415,0.4,0.4,0.4,0.4,0.397,0.397,0.443,0.443,0.441,0.441,0.441,0.441,0.441,0.446,0.446,0.446,0.449,0.432,0.442,0.456,0.423,0.423,0.374,0.374,0.373,0.349
Hungary,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.408,0.408,0.408,0.408,0.408,0.408,0.687,0.701,0.701,0.701,0.701,0.701,0.706,0.706,0.706,0.706,0.696,0.696,0.696,0.696,0.696,0.665,0.682,0.682,0.682,0.682,0.636,0.623,0.596,0.586,0.586,0.586,0.586,0.571,0.561
India,0.491,0.482,0.482,0.556,0.556,0.556,0.556,0.556,0.556,0.551,0.551,0.551,0.551,0.551,0.551,0.55,0.55,0.553,0.553,0.556,0.579,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.602,0.597,0.597,0.586,0.586,0.561,0.57
Indonesia,0.0754,0.0754,0.0754,0.0754,0.0754,0.0754,0.0754,0.0754,0.0754,0.0664,0.0757,0.0757,0.0757,0.0757,0.0757,0.0757,0.0757,0.0828,0.086,0.086,0.086,0.086,0.086,0.0757,0.524,0.549,0.549,0.549,0.556,0.556,0.559,0.559,0.559,0.559,0.559,0.576,0.526,0.526,0.538,0.547,0.567,0.567,0.567,0.571
Iran,0.312,0.312,0.312,0.312,0.377,0.334,0.334,0.334,0.259,0.29,0.295,0.295,0.295,0.29,0.29,0.29,0.295,0.301,0.306,0.309,0.309,0.309,0.309,0.343,0.334,0.334,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.343,0.343,0.343,0.343,0.315,0.315,0.315,0.296,0.321,0.309
Iraq,0.461,0.461,0.461,0.461,0.461,0.456,0.456,0.456,0.456,0.441,0.441,0.441,0.441,0.446,0.416,0.425,0.425,0.425,0.425,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.45,0.483,0.445,0.445,0.445,0.457,0.446,0.432,0.432,0.432,0.429,0.429,0.429,0.429,0.431,0.431
Ireland,0.865,0.865,0.865,0.865,0.865,0.865,0.831,0.796,0.796,0.793,0.793,0.793,0.793,0.793,0.793,0.772,0.797,0.797,0.797,0.797,0.801,0.801,0.797,0.801,0.801,0.801,0.801,0.801,0.801,0.801,0.801,0.801,0.801,0.801,0.801,0.815,0.815,0.815,0.815,0.833,0.833,0.833,0.833,0.833
Israel,0.409,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.409,0.406,0.412,0.412,0.402,0.402,0.402,0.406,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.417,0.417,0.417,0.429,0.429,0.452,0.439,0.43,0.401
Italy,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.591,0.591,0.591,0.591,0.591,0.591,0.633,0.633,0.633,0.633,0.633,0.633,0.636,0.636,0.636,0.636,0.636,0.636,0.645,0.664,0.664,0.667,0.667,0.651,0.651,0.667,0.667,0.667,0.651,0.659,0.659,0.659,0.659,0.678,0.639
Jamaica,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.672,0.672,0.672,0.672,0.672,0.672,0.67,0.67,0.67,0.669,0.669,0.669,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.692,0.692,0.692,0.692,0.732,0.704
Japan,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.577,0.577,0.577,0.577
Jordan,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.369,0.369,0.369,0.369,0.369,0.369,0.339,0.339,0.351,0.351,0.355,0.355,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.39,0.39,0.393,0.393,0.393,0.395,0.395,0.398,0.39,0.39,0.39,0.494,0.483,0.489
Kazakhstan,,,,,,,,,,,,,,,,,0.292,0.302,0.306,0.306,0.245,0.262,0.269,0.269,0.277,0.27,0.27,0.27,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.266,0.266,0.27,0.27,0.27,0.27,0.27,0.27
