country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oman,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,9.36,,10,,1.32,0.939,1.07,1.41,2.26,2.08,,8.61,7.01,16.8,,,7.15,
Palau,,,,,,,,,,,2.17,,,,,,,,,,,,,,0.621,,,,,
Palestine,,,,,,,,,,,9.34,13.1,15.6,16.6,17,18.2,16.5,18,21,19.3,19.9,19.5,22.7,23.5,23.3,28.7,30.6,33.3,32.5,30.5
Panama,,,,,,,,,,,,,,14.1,12.9,11.4,9.06,6.77,5.61,,3.08,1.44,1.92,1.29,2.2,1.82,2.88,2.42,3.21,3.94
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,2.38,,,,,,,,,
Paraguay,,,,,,,,,,,,,4.16,5.14,4.88,3.36,3.36,1.88,3,3.28,2.82,2.51,2.61,3.12,2.95,2.44,4.25,2.76,,
Peru,,,,,,,10.4,7.04,7.77,8.55,7.66,7.61,7.08,5.41,6.42,6.86,4.82,4.85,5.04,3.97,4.07,3.56,3.23,3.42,3.07,3.67,3.94,3.95,3.92,3.18
Philippines,,,,,,,,,,,,,,,15.3,,11.2,10.2,10.5,10.7,10.3,10,9.2,,9.3,8.46,7.51,,,
Poland,,,,,5.47,4.42,4.24,,2.25,3.19,5.47,5.59,6.48,7.06,7.21,7.11,5.92,4.62,3.83,4.39,4.98,5.19,5.59,5.67,4.67,3.96,3.26,2.44,2.01,1.99
Portugal,,,,,,,,,2.75,3.32,2.69,2.57,3.92,5.35,4.38,6.23,6.27,7.42,6.82,6.44,7,8.97,11.7,12.6,9.98,9.24,8.36,6.45,5.38,5.31
Qatar,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,
Romania,,,,,,1.33,1.52,,2.75,2.75,3.6,3.89,4.04,3.34,3.12,3.86,3.79,2.94,2.71,4.34,4.82,4.74,5.1,5.41,5.83,4.11,3.13,2.42,2.14,1.57
Russia,,,,,,,,,10.1,,,,12.2,11.8,5.06,,4.53,3.74,3.99,5.49,7.17,6.38,5.34,5.36,5.01,5.35,5.43,5.04,4.79,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,19.5,18.1,
Samoa,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,7.67,,
San Marino,,,,,,,,,,,,,,,,,,,,7.45,8.55,,,,,,8.21,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,11.3,,,,,10.7,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,
