country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,37.5,37.5,38.6,37.6,37.8,38,37.8,37.8,38.1,37.9,38,
Mauritania,,,,,,,,,,,,,,,,,,,,,48.6,,,,,,56.1,,44.5,,,,,45.7,,,,47.4,,,,42.4,,,,,,40.2,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,,,46.2,,,,,44.6,
Mexico,,,,,,,,,,,,,,,,,,,,,,,59.2,,,58.7,,59,,58.9,,57.8,,57.6,,55.6,,55.4,55.2,54.6,,55,,52.9,,54.4,,54.7,,52.4,,51.7
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,46,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,45.9,49.6,43.8,45.2,43.1,42.9,42.9,43.7,42.7,42,42.4,40.6,40.3,39.3,38.4,37.8,36.7,36.9,36.6,36.1,36
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,38.2,,,,40.5,,,,,43.4,,,41.1,42,41.7,,40.3,,40.6,,40.9
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,44,43.8,44.3,,,
Morocco,,,,,,,,,,,,,,,,,,46.2,,,,,,46.3,,,,,,,,46.5,,47.8,,,,,,48,,,,,,,47,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,,,,,,53.5,,,,,,51.4,,,,,,59.5,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,39.9,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,66.4,,,,,,63.7,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,,,,,,,51.2,,,,,,,41.5,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,37.5,,,,36.6,,,39.7,,,38.6,,,,,,37.1,,,,,38.3,38,39,38.6,38.1,37,36.9,37,37,37.2,37.7,37.4,37.2,37.6,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,,,,,58.6,,,57.9,,,,54.6,,,,49.9,,,,,52.1,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,48.3,,,,,,,,,,,51,,45.7,,,,40.8,,,42.4,,,,
Nigeria,,,,,,,,,,,,,,,,,,,45,,,,,,,49.3,,,,56.5,,,,,,,46,,,,,,49,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,44,43.8,43.1,41.8,40.9,41.1,40,39.7,
Norway,,,,,,,,,,,,,36.7,,,,,,,34.8,,,,,35.3,,,,35.8,,,,,37.1,,,37.2,40.5,39.7,35.5,36.5,36.2,35.6,35.3,34.8,35.2,35.7,35.9,36.6,37.2,36,
Pakistan,,,,,,,,,,,,,,,,,,,,,42.2,,,41.8,,,,,,39,,42.4,,,40.1,,,41.9,42.3,,41.3,,,39.7,40.7,,40.3,,42.8,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,42.3,42.2,43,,42.6,43.2,42.5,,,,,41.1,,
