country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9
Sao Tome and Principe,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,,34.2,,,,,,,,,48.9,,,,53.9,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,,,,,5.62,,8.23,,,,10.9,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,63,63.7,66.6,,66.6,68.6,70.9,71.4,71.6,
Seychelles,,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,8.4,,,,,,,,,,12.8,,,,,21.3,,,,,,,,,,59.4,58.7,59.6,63.2,63.2,65.5,66.6,67.7,68.8,69.5,70.9,70.7,71.4,73.5
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,,,,,,,,,,84.8,85.4,86,85.3,86.7,87.3,87.1,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1,73.6,75,73.2,75.8,77.3,77.7,78.4,79.2,79.8,80.1,81.5,81.9,82.6,
South Africa,10.3,,,,,,,,,,11.3,,,,,8.24,,,,,,,,,,,,,,,,27,47.2,49.4,50.3,51,51.7,51.9,54.2,57.1,58,59,61.5,,64.2,64.6,,,
South Korea,15.7,,,,,,,,,,27.6,,,,,57,,,,,48.4,,,,,56.5,,,,,63.7,,,,,69.3,,,,66,72.7,,,,,76.4,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,
Spain,6.24,,,,,,,,,,,12.8,,,,,15.7,,,,,,,,,,,,,,,,,,37.3,40.4,41.4,42.3,42.8,43.3,44.3,45.3,45.6,,47.2,47.9,48.6,,50.4
Sri Lanka,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1,,,,,,,,,,,,,,,61.7,62.5,63
